_RAJ2000|_DEJ2000|KIC|2MASS|Teff|FeH|AFe|Numax|Dnu|ES|Fdnu|M(cor)|s_M(cor)|R(cor)|s_R(cor)|logg(seis)|s_logg(seis)|Rho|s_Rho|LogAge|Av|Notes|AP-1|KCat|Sloan|Simbad|_RA|_DE
286.3120417|+37.4858611| 1996078|19051489+3729091|4803.9|-0.056| 0.011| 82.874| 7.768|RGB     | 1.0296| 1.211| 0.037| 7.018| 0.014| 2.829| 0.007| 4.94e-03| 0.007| 3.724| 0.242|                |  0|KCat|Sloan|Simbad|286.31204|+37.48586
286.4137083|+37.4273056| 1996415|19053929+3725383|4733.4| 0.172| 0.050|125.427|10.760|RGB     | 1.0261| 1.131| 0.034| 5.534| 0.012| 3.005| 0.007| 9.41e-03| 0.007| 3.898| 0.311|                |  0|KCat|Sloan|Simbad|286.41371|+37.42731
290.3743333|+37.4230278| 2010137|19212984+3725229|4063.0| 0.418| 0.003|  6.369| 1.068|RGB     | 1.0457| 1.126| 0.044|25.460| 0.017| 1.678| 0.007| 9.63e-05| 0.008| 3.952| 0.458|SeisUnc         |  0|KCat|Sloan|Simbad|290.37433|+37.42303
290.6335833|+37.4910278| 2011145|19223206+3729277|4007.0|-0.273| 0.101|  2.088| 0.475|RGB     | 1.0325| 1.045| 0.045|42.976| 0.017| 1.191| 0.007| 1.86e-05| 0.008| 3.863| 0.279|                |  0|KCat|Sloan|Simbad|290.63358|+37.49103
290.7432917|+37.4820000| 2011582|19225839+3728552|4644.6| 0.410| 0.034| 39.173| 3.878|RC      | 1.0076| 2.134| 0.075|13.666| 0.022| 2.496| 0.010| 1.18e-03| 0.008| 3.084| 0.379|                |  0|KCat|Sloan|Simbad|290.74329|+37.48200
290.8189167|+37.4822222| 2011870|19231654+3728560|3976.9| 0.295| 0.033|  4.380| 0.770|RGB     | 1.0363| 1.358| 0.044|33.899| 0.017| 1.511| 0.007| 4.92e-05| 0.008| 3.651| 0.519|                |  0|KCat|Sloan|Simbad|290.81892|+37.48222
290.8248333|+37.4708611| 2011891|19231796+3728151|4680.5| 0.308| 0.004|112.944| 9.716|RGB     | 1.0275| 1.214| 0.035| 6.059| 0.012| 2.957| 0.007| 7.70e-03| 0.007| 3.819| 0.230|                |  0|KCat|Sloan|Simbad|290.82483|+37.47086
291.1910417|+37.4940278| 2013502|19244585+3729385|4896.6| 0.042|-0.017| 60.888| 5.722|RC      | 0.9986| 1.897| 0.065|10.201| 0.017| 2.699| 0.009| 2.52e-03| 0.008| 3.127| 0.519|                |  1|KCat|Sloan|Simbad|291.19104|+37.49403
291.4795417|+37.4464167| 2014684|19255509+3726471|4303.9|-0.260| 0.049|  5.977| 1.099|RGB     | 1.0482| 0.895| 0.044|23.094| 0.017| 1.663| 0.007| 1.03e-04| 0.008| 4.112| 0.569|                |  0|KCat|Sloan|Simbad|291.47954|+37.44642
291.7399167|+37.4676389| 2015820|19265758+3728035|4827.0| 0.037|-0.009| 45.097| 4.614|RC      | 0.9968| 1.797| 0.072|11.578| 0.020| 2.565| 0.009| 1.63e-03| 0.008| 3.179| 0.161|                |  0|KCat|Sloan|Simbad|291.73992|+37.46764
291.9381250|+37.4527778| 2016676|19274515+3727100|4984.2| 0.057| 0.000| 80.312| 6.921|RC      | 0.9977| 2.096| 0.056| 9.293| 0.013| 2.823| 0.008| 3.68e-03| 0.008| 3.035| 0.410|                |  0|KCat|Sloan|Simbad|291.93812|+37.45278
